time,ax,ay,az,atotal
0.000,0.10,-0.16,0.15,0.24
0.010,0.10,-0.20,0.14,0.26
0.020,0.03,-0.21,0.13,0.25
0.030,-0.01,-0.15,0.10,0.18
0.040,-0.05,-0.03,0.07,0.09
0.050,-0.06,0.04,0.03,0.08
0.060,-0.03,0.06,0.06,0.09
0.071,0.00,0.01,0.06,0.06
0.080,0.06,-0.05,0.08,0.11
0.090,0.11,-0.06,0.11,0.17
0.101,0.11,-0.10,0.14,0.20
0.111,0.06,-0.11,0.15,0.19
0.121,0.03,-0.13,0.17,0.21
0.131,0.01,-0.14,0.19,0.24
0.141,0.03,-0.14,0.20,0.24
0.151,0.08,-0.08,0.13,0.17
0.161,0.16,-0.02,0.11,0.20
0.171,0.33,0.22,0.12,0.41
0.181,0.04,-0.15,0.13,0.20
0.191,0.06,-0.12,0.13,0.19
0.201,0.05,-0.05,0.09,0.11
0.211,-0.00,-0.11,0.03,0.11
0.221,-0.06,-0.18,0.06,0.20
0.231,-0.11,-0.16,0.08,0.21
0.241,-0.08,-0.05,0.08,0.13
0.251,-0.01,0.06,0.05,0.08
0.262,0.02,0.13,-0.02,0.13
0.272,0.04,0.11,-0.07,0.14
0.282,0.03,-0.01,-0.04,0.05
0.292,0.07,-0.07,0.03,0.10
0.302,0.07,-0.11,0.05,0.14
0.312,0.01,-0.14,0.10,0.17
0.322,-0.01,-0.13,0.11,0.17
0.332,-0.04,-0.11,0.09,0.15
0.342,-0.11,-0.10,0.08,0.17
0.352,-0.16,-0.08,0.11,0.21
0.362,-0.15,-0.05,0.11,0.19
0.372,-0.19,-0.05,0.09,0.22
0.382,-0.13,-0.05,0.19,0.24
0.392,-0.05,-0.11,0.32,0.34
0.402,-0.07,-0.22,0.36,0.42
0.412,-0.00,-0.19,0.41,0.46
0.422,0.09,-0.11,0.47,0.50
0.433,0.22,0.01,0.53,0.57
0.443,0.34,0.17,0.48,0.61
0.453,0.30,0.10,0.39,0.50
0.463,0.27,-0.11,0.36,0.46
0.473,0.29,-0.31,0.40,0.58
0.483,0.30,-0.48,0.40,0.69
0.493,0.24,-0.59,0.38,0.74
0.503,0.13,-0.63,0.37,0.74
0.513,-0.03,-0.54,0.39,0.66
0.523,-0.13,-0.28,0.34,0.46
0.533,-0.21,0.06,0.19,0.29
0.543,-0.36,0.21,0.09,0.42
0.553,-0.46,0.16,0.10,0.49
0.563,-0.45,0.03,0.16,0.48
0.573,-0.33,-0.10,0.16,0.38
0.583,-0.23,-0.19,0.09,0.32
0.593,-0.09,-0.20,0.15,0.27
0.604,0.07,-0.16,0.29,0.34
0.613,0.17,-0.12,0.44,0.48
0.624,0.28,-0.08,0.51,0.59
0.633,0.30,-0.14,0.51,0.61
0.644,0.25,-0.22,0.43,0.54
0.654,0.17,-0.22,0.33,0.43
0.664,0.07,-0.15,0.26,0.31
