time,ax,ay,az,atotal
0.000,0.15,-0.03,-0.14,0.21
0.010,0.10,-0.06,-0.11,0.16
0.020,0.02,-0.06,0.00,0.07
0.030,-0.03,0.00,0.01,0.04
0.040,-0.04,0.10,-0.04,0.12
0.051,-0.03,0.12,-0.04,0.13
0.060,0.04,0.06,-0.03,0.07
0.071,0.11,-0.03,-0.04,0.12
0.081,0.21,-0.04,-0.07,0.23
0.091,0.27,-0.08,-0.10,0.30
0.101,0.21,-0.12,-0.11,0.27
0.111,0.12,-0.10,-0.08,0.17
0.121,0.01,-0.07,-0.02,0.08
0.131,-0.03,-0.01,0.04,0.05
0.141,-0.05,0.03,0.06,0.09
0.151,-0.03,0.02,0.02,0.04
0.161,0.00,-0.03,-0.03,0.04
0.171,0.01,-0.10,-0.07,0.12
0.181,0.03,-0.13,-0.09,0.16
0.191,0.22,0.01,-0.05,0.23
0.201,1.58,1.10,0.07,1.93
0.211,0.04,-0.08,-0.34,0.35
0.221,-0.22,-0.49,0.03,0.54
0.232,0.14,-0.16,0.13,0.25
0.242,0.14,0.02,0.16,0.22
0.252,0.18,0.06,0.14,0.24
0.262,0.20,0.07,0.05,0.22
0.272,0.19,0.05,0.03,0.20
0.282,0.15,-0.06,0.07,0.18
0.292,0.20,-0.15,0.07,0.26
0.302,0.23,-0.15,0.10,0.29
0.312,0.22,-0.09,0.06,0.24
0.322,0.17,-0.08,0.05,0.19
0.332,0.16,-0.06,0.08,0.19
0.342,0.06,-0.06,0.10,0.13
0.352,0.03,0.04,0.12,0.13
0.362,0.16,0.09,0.08,0.20
0.372,0.14,0.01,0.04,0.15
0.382,0.11,0.03,-0.04,0.12
0.392,0.09,-0.01,-0.05,0.11
0.403,0.13,-0.07,0.02,0.15
0.412,0.06,-0.24,0.07,0.25
0.423,-0.06,-0.35,0.12,0.38
0.433,0.05,-0.22,0.19,0.30
0.443,0.12,0.04,0.17,0.21
0.453,0.09,0.26,0.02,0.27
0.463,0.03,0.31,-0.12,0.33
0.473,-0.07,0.16,-0.17,0.24
0.483,-0.18,-0.15,-0.04,0.23
0.493,-0.11,-0.34,0.11,0.37
0.503,0.05,-0.36,0.14,0.38
0.513,0.08,-0.23,0.09,0.26
0.523,0.14,0.03,0.07,0.16
0.533,0.11,0.23,-0.01,0.26
0.543,0.04,0.25,-0.12,0.28
0.553,-0.00,0.17,-0.16,0.23
0.563,0.02,0.08,-0.10,0.13
0.573,0.11,0.05,-0.09,0.15
0.583,0.18,0.07,-0.09,0.22
0.594,0.20,0.06,-0.10,0.24
